shipment_id,origin,destination,weight,shipping_cost,delivery_date,status
SH-15373,Germany,Germany,26.7,126.68,08/16/2024,Delivered
SH-15374,Tunisia,,41.11,125.82,11/27/2024,Pending
SH-15375,Tunisia,UK,44.62,113.98,2024/03/24,Pending
SH-15376,China,,invalid,144.82,,Pending
SH-15377,China,Italy,48.31,104.08,abc,In Transit
SH-15378,Tunisia,Germany,8.24,173.27,abc,In Transit
SH-15379,China,France,18.81,163.54,2024/06/22,Pending
SH-15380,China,UK,10.39,79.42,2024-06-06,Pending
SH-15381,Germany,,38.75,166.02,2024/01/18,Pending
SH-15382,China,Germany,18.8,190.02,11/04/2024,In Transit
SH-15383,Germany,,19.52,111.35,11/11/2024,Delivered
SH-15384,Tunisia,,,51.32,2024-11-05,Pending
SH-2825,Germany,,23.28,16.06,2024/06/26,Delivered
SH-15386,China,Germany,-9.79,32.3,2024-07-17,In Transit
SH-15387,Tunisia,Germany,13.16,97.91,2024-09-11,Pending
SH-15388,Germany,Italy,41.26,10.56,03/27/2024,In Transit
SH-15389,Tunisia,Germany,3.2,69.44,abc,Pending
SH-15390,Tunisia,invalid,19.93,abc,07/13/2024,In Transit
SH-15391,USA,UK,19.31,172.77,,Delivered
SH-15392,Germany,UK,24.28,195.53,2024-05-12,Delivered
SH-15393,China,Italy,0.07,68.04,12/09/2024,In Transit
SH-15394,Germany,Germany,1.28,abc,invalid,In Transit
SH-15395,Spain,France,23.67,143.58,2024/08/25,In Transit
SH-15396,China,,0.64,-4.7,2024/08/28,Pending
SH-15397,Spain,France,40.72,175.68,,Pending
SH-15398,China,Germany,31.57,-9.49,2024/08/11,Delivered
SH-15399,China,Germany,32.08,94.39,2024/11/18,In Transit
SH-2709,Tunisia,UK,25.07,64.12,,Delivered
SH-15401,USA,invalid,18.15,155.95,03/22/2024,Delivered
SH-2158,Germany,,48.13,148.3,,Delivered
SH-15403,Germany,Italy,7.65,-13.72,invalid,Delivered
SH-15404,USA,France,,-11.24,2024-05-22,In Transit
SH-15405,Tunisia,UK,-5.98,,03/03/2024,In Transit
SH-15406,China,Germany,46.71,58.72,2024-07-26,In Transit
SH-15407,Spain,UK,-2.34,154.98,2024-11-02,Pending
SH-2551,USA,Italy,,37.2,2024/05/17,Pending
SH-15409,Spain,,,abc,2024/03/22,Delivered
SH-2980,Germany,Italy,8.92,,01/19/2024,Delivered
SH-15411,USA,Germany,27.97,-14.3,2024/07/28,Pending
SH-15412,Tunisia,UK,-1.85,18.68,abc,Delivered
SH-15413,Tunisia,,abc,89.32,05/05/2024,Delivered
SH-15414,Tunisia,UK,-1.51,117.27,2024-07-12,Pending
SH-2770,China,Germany,17.94,65.82,,Pending
SH-15416,China,Germany,0.63,169.78,,Pending
SH-15417,Spain,Germany,40.61,133.32,10/06/2024,In Transit
SH-15418,China,,44.7,43.2,2024-06-28,Delivered
SH-15419,Spain,Germany,42.37,32.34,06/14/2024,Delivered
SH-15420,China,,32.37,,2024-12-08,In Transit
SH-15421,USA,UK,,159.85,2024-04-07,Delivered
SH-15422,Spain,UK,-0.32,22.09,2024-12-22,Delivered
SH-2162,Spain,Germany,36.6,155.0,05/23/2024,Pending
SH-15424,USA,,24.28,163.38,11/15/2024,Delivered
SH-15425,China,Italy,-0.36,76.11,abc,In Transit
SH-15426,Germany,Germany,23.69,-9.26,invalid,In Transit
SH-15427,China,UK,0.35,31.06,,Delivered
SH-15428,Germany,,41.7,-7.31,abc,Pending
SH-15429,Spain,Germany,24.45,175.91,,Delivered
SH-15430,Tunisia,,,173.47,2024-11-19,Delivered
SH-15431,Tunisia,France,46.2,invalid,2024/10/08,Pending
SH-15432,Germany,Italy,,159.37,2024-07-16,Pending
SH-15433,Germany,,-2.55,abc,01/21/2024,Delivered
SH-15434,Germany,France,45.39,abc,2024/06/18,Delivered
SH-15435,Germany,Germany,15.45,179.61,2024-01-06,Delivered
SH-15436,Spain,,19.87,-13.66,01/19/2024,Delivered
SH-15437,Tunisia,invalid,27.01,75.36,2024-04-15,Pending
SH-15438,USA,,30.75,,2024-10-22,In Transit
SH-15439,China,UK,41.04,20.7,2024/12/07,Pending
SH-15440,China,France,35.49,100.93,2024/07/02,Pending
SH-2343,Germany,,33.35,156.04,2024-04-16,Delivered
SH-15442,China,UK,47.47,188.66,01/07/2024,In Transit
SH-15443,Tunisia,Italy,9.51,103.8,2024-12-24,Delivered
SH-15444,Tunisia,France,42.4,,2024-08-28,Delivered
SH-15445,USA,Germany,,-6.46,invalid,In Transit
SH-2688,Tunisia,UK,2.81,,2024-11-25,In Transit
SH-15447,Spain,France,37.31,164.0,abc,Delivered
SH-15448,China,Italy,48.7,181.26,2024/05/03,In Transit
SH-15449,Germany,Germany,abc,42.59,2024/01/06,Pending
SH-15450,Spain,UK,10.64,196.42,2024-03-21,In Transit
SH-15451,USA,,27.96,125.02,2024/02/09,Delivered
SH-15452,Spain,invalid,-2.83,97.22,2024-04-16,Pending
SH-2228,USA,,-9.83,0.31,08/19/2024,Delivered
SH-15454,Spain,,49.32,94.31,2024-06-25,In Transit
SH-15455,Tunisia,Italy,37.84,55.65,,Pending
SH-15456,USA,UK,-3.89,81.63,02/08/2024,Pending
SH-15457,Spain,France,1.08,135.3,2024-03-05,Pending
SH-15458,USA,,28.11,-14.17,2024-07-03,In Transit
SH-2289,Germany,UK,-4.32,148.63,,In Transit
SH-15460,Germany,UK,43.38,174.55,2024/12/21,Pending
SH-15461,Spain,France,43.75,76.32,,Pending
SH-15462,USA,Germany,abc,144.16,2024/10/09,Pending
SH-15463,China,Italy,32.05,48.51,2024-05-12,Pending
SH-2993,Germany,Germany,14.97,85.68,2024-12-09,In Transit
SH-15465,Tunisia,Germany,23.43,161.29,,Delivered
SH-15466,Spain,UK,49.63,41.82,2024-07-26,Pending
SH-15467,Tunisia,France,26.25,invalid,2024/10/13,In Transit
SH-15468,USA,abc,abc,43.96,08/11/2024,In Transit
SH-15469,USA,,26.03,164.97,02/24/2024,In Transit
SH-15470,USA,Germany,24.21,130.31,2024/11/03,Delivered
SH-15471,China,abc,2.49,-14.01,08/25/2024,In Transit
SH-2529,Germany,invalid,1.36,44.2,2024-12-15,Pending
SH-15473,China,France,46.09,16.67,02/06/2024,In Transit
SH-15474,Tunisia,invalid,29.38,invalid,2024-12-15,In Transit
SH-15475,Spain,Germany,19.67,124.53,2024/09/22,Pending
SH-2658,Tunisia,Germany,,66.44,2024-02-18,In Transit
SH-15477,USA,Italy,11.69,69.86,03/11/2024,Pending
SH-15478,Tunisia,France,invalid,,2024-04-04,Pending
SH-15479,Germany,France,26.95,164.55,2024/05/02,Pending
SH-15480,Spain,invalid,24.36,122.04,2024-09-13,Pending
SH-15481,Spain,,48.55,49.33,2024-05-14,Delivered
SH-15482,Tunisia,France,-9.3,invalid,abc,In Transit
SH-15483,China,,36.81,144.43,2024-03-16,Pending
SH-15484,China,Germany,28.06,,05/18/2024,Pending
SH-15485,Germany,abc,27.45,11.39,2024/11/17,Pending
SH-15486,China,invalid,23.13,162.88,2024-02-18,Delivered
SH-15487,Spain,UK,29.5,21.43,2024/10/05,Pending
SH-15488,Spain,,33.06,162.74,,In Transit
SH-2162,Spain,invalid,-1.79,136.03,2024-03-09,Delivered
SH-15490,Spain,,7.35,60.89,2024/08/16,Delivered
SH-15491,China,,34.63,45.79,,Pending
SH-15492,Spain,Italy,invalid,21.11,2024/06/17,In Transit
SH-15493,Spain,Italy,23.09,32.83,12/15/2024,Delivered
SH-15494,Spain,France,21.1,170.91,2024-04-23,Delivered
SH-15495,Spain,,18.0,,09/28/2024,Pending
SH-15496,Tunisia,UK,invalid,78.45,2024/10/14,Pending
SH-15497,Spain,France,invalid,106.85,2024/06/09,In Transit
SH-15498,USA,Italy,33.89,54.4,2024/01/12,Pending
SH-15499,USA,,44.29,168.74,07/24/2024,In Transit
SH-15500,Germany,Italy,32.49,51.78,2024-01-11,Delivered
SH-15501,USA,abc,-3.82,-14.4,2024/02/08,Delivered
SH-15502,China,Germany,-9.63,invalid,2024/04/02,Pending
SH-15503,Tunisia,,-9.79,73.14,01/19/2024,Delivered
SH-15504,Spain,France,,134.3,09/12/2024,In Transit
SH-15505,Germany,,38.41,180.73,04/21/2024,In Transit
SH-15506,China,UK,11.52,invalid,,In Transit
SH-15507,Tunisia,Germany,16.82,66.22,2024-08-08,Delivered
SH-15508,China,,-9.06,invalid,2024-07-25,Pending
SH-15509,USA,UK,46.84,12.57,2024-04-28,Pending
SH-2917,China,UK,-8.67,20.69,invalid,Delivered
SH-15511,China,France,43.74,99.22,09/17/2024,In Transit
SH-2894,Germany,Italy,-0.07,96.86,01/18/2024,Pending
SH-15513,USA,UK,5.65,,2024/10/23,Delivered
SH-15514,Spain,France,11.78,183.93,2024/03/22,In Transit
SH-15515,Germany,UK,47.56,173.61,08/12/2024,In Transit
SH-15516,Tunisia,,1.71,86.53,2024/03/19,Pending
SH-2687,China,UK,18.34,120.83,10/08/2024,Pending
SH-15518,Germany,,-8.32,158.21,2024-11-27,Pending
SH-15519,China,France,4.05,invalid,2024/09/24,Pending
SH-15520,Tunisia,Italy,27.7,38.85,2024-11-20,Delivered
SH-15521,Spain,Germany,abc,-16.17,abc,Delivered
SH-15522,Tunisia,Italy,28.91,130.29,2024-04-21,Pending
SH-15523,Tunisia,invalid,40.27,99.73,2024-08-16,Pending
SH-15524,Tunisia,UK,40.38,59.3,2024/05/23,In Transit
SH-15525,Tunisia,,,-2.28,2024/12/05,In Transit
SH-2518,Spain,,,23.6,2024/04/01,Pending
SH-15527,Tunisia,UK,38.3,142.96,2024/09/09,Pending
SH-15528,China,,8.92,,2024-09-21,Delivered
SH-15529,Tunisia,Italy,41.27,114.08,2024-02-13,Pending
SH-2791,Spain,France,3.98,179.24,2024/12/21,In Transit
SH-15531,Spain,,42.35,22.13,2024-05-18,Delivered
SH-15532,Germany,France,5.72,86.73,07/21/2024,Delivered
SH-15533,Spain,France,29.34,195.98,11/27/2024,Pending
SH-15534,Tunisia,Italy,47.93,189.1,2024/09/28,Delivered
SH-15535,Tunisia,Italy,invalid,49.88,invalid,Pending
SH-15536,Tunisia,,15.12,invalid,03/27/2024,Delivered
SH-2014,Germany,Germany,48.54,,invalid,Pending
SH-15538,Spain,Germany,35.74,46.98,,Pending
SH-15539,China,,45.67,47.96,2024-11-15,In Transit
SH-15540,Germany,Italy,1.69,38.77,2024-12-22,Pending
SH-15541,USA,Italy,5.26,18.53,2024-11-19,Delivered
SH-15542,USA,France,24.74,119.39,2024/04/01,Pending
SH-15543,China,France,abc,120.76,2024-06-03,Pending
SH-15544,China,Italy,0.3,invalid,2024/09/18,Pending
SH-15545,China,Germany,21.52,61.25,2024-09-26,Pending
SH-15546,Germany,Germany,-3.58,189.69,2024-07-04,Pending
SH-15547,USA,Italy,-2.26,99.75,01/01/2024,In Transit
SH-15548,China,UK,-4.28,131.31,2024-09-04,Delivered
SH-15549,Germany,,8.17,102.84,08/06/2024,Delivered
SH-15550,Germany,,41.02,149.3,2024/07/21,Delivered
SH-15551,Spain,UK,-7.31,52.55,2024-08-01,Delivered
SH-15552,China,UK,36.34,146.75,invalid,In Transit
SH-15553,USA,Italy,invalid,-17.16,09/04/2024,Pending
SH-15554,Spain,Italy,-6.97,105.84,2024-07-01,In Transit
SH-15555,Tunisia,Germany,1.84,161.63,,Pending
SH-15556,Germany,abc,,24.65,03/09/2024,Delivered
SH-15557,USA,,37.48,abc,2024/03/21,Pending
SH-2064,USA,invalid,46.55,75.13,2024-01-18,In Transit
SH-2272,Germany,France,0.61,23.16,2024-06-19,Delivered
SH-15560,China,UK,,42.78,2024/01/03,Delivered
SH-15561,Spain,UK,21.64,74.28,10/28/2024,Delivered
SH-15562,Spain,UK,25.2,47.34,2024-02-28,In Transit
SH-15563,Germany,abc,49.12,,2024/05/02,In Transit
SH-15564,Germany,abc,,-1.45,09/13/2024,Delivered
SH-15565,China,France,,-16.19,2024/05/06,In Transit
SH-15566,Germany,Germany,,-5.82,2024/08/15,In Transit
SH-15567,Spain,Germany,-1.91,49.27,2024/02/14,Delivered
SH-15568,USA,France,12.49,198.69,2024/06/19,Delivered
SH-15569,Tunisia,Germany,,199.76,abc,In Transit
SH-15570,Tunisia,,invalid,0.23,2024/08/09,Pending
SH-15571,China,,-9.89,197.06,10/05/2024,In Transit
SH-15572,China,Germany,46.24,101.73,01/26/2024,In Transit
SH-15573,Tunisia,UK,,,invalid,In Transit
SH-15574,Spain,Italy,49.68,-7.68,2024-04-15,Pending
SH-15575,Tunisia,,invalid,99.12,2024/06/14,Delivered
SH-15576,China,Italy,-4.46,78.15,invalid,In Transit
SH-15577,Spain,France,abc,148.27,12/04/2024,Pending
SH-15578,Tunisia,UK,invalid,invalid,2024-06-15,Delivered
SH-15579,Germany,invalid,17.41,2.33,2024-12-09,In Transit
SH-2389,Spain,UK,5.79,,2024/08/06,Pending
SH-2871,China,France,46.65,148.63,2024/05/23,In Transit
SH-15582,China,France,10.38,invalid,07/03/2024,Delivered
SH-15583,China,Germany,0.15,-15.08,abc,In Transit
SH-15584,Spain,UK,3.05,12.52,2024/05/15,Delivered
SH-15585,China,Germany,10.91,invalid,2024-08-22,In Transit
SH-15586,China,Italy,-3.69,,2024-07-08,Delivered
SH-2418,USA,Germany,-8.06,24.2,07/28/2024,Delivered
SH-15588,Germany,UK,-3.62,100.65,2024/12/25,Delivered
SH-15589,China,Germany,20.78,175.1,2024/09/13,Delivered
SH-15590,Spain,,23.48,-0.86,2024-10-16,Delivered
SH-15591,USA,abc,15.28,65.04,07/03/2024,Delivered
SH-15592,China,Germany,3.36,180.52,2024-02-25,Pending
SH-15593,Tunisia,Italy,invalid,117.22,03/22/2024,Delivered
SH-15594,China,,6.96,48.57,2024-11-18,Delivered
SH-15595,China,,-5.32,-7.46,2024/01/02,Pending
SH-15596,Tunisia,France,invalid,98.51,abc,Delivered
SH-15597,Spain,UK,0.22,-15.23,2024-02-26,Delivered
SH-15598,USA,invalid,-0.08,invalid,2024/04/18,Delivered
SH-15599,Germany,Germany,-4.39,-4.01,,In Transit
SH-15600,Spain,,5.78,185.11,2024/02/01,In Transit
SH-15601,USA,invalid,34.86,32.94,06/24/2024,In Transit
SH-15602,Spain,Germany,,30.17,10/08/2024,In Transit
SH-2146,Germany,UK,49.92,12.72,08/11/2024,Delivered
SH-15604,Tunisia,,6.48,195.33,2024-10-21,Delivered
SH-15605,Spain,UK,15.21,122.96,2024/02/18,Delivered
SH-15606,China,UK,28.35,invalid,2024-03-22,Delivered
SH-15607,USA,France,-9.4,-1.89,2024-11-17,Pending
SH-15608,Germany,abc,28.33,71.62,2024/11/23,In Transit
SH-15609,Tunisia,UK,23.2,,03/06/2024,In Transit
SH-15610,Spain,,42.63,21.28,invalid,Pending
SH-15611,Germany,France,5.59,9.58,2024/01/25,In Transit
SH-15612,China,abc,32.02,105.68,2024-12-16,In Transit
SH-15613,Spain,Germany,26.41,53.44,2024/10/28,Delivered
SH-15614,Germany,,28.38,186.07,2024-08-15,In Transit
SH-15615,Tunisia,,49.43,,2024/09/11,Delivered
SH-15616,Spain,,invalid,72.36,09/12/2024,Delivered
SH-15617,USA,,-3.7,,2024/03/08,Pending
SH-15618,USA,Germany,27.03,85.1,02/24/2024,In Transit
SH-15619,Tunisia,,24.17,82.93,2024/08/15,Pending
SH-15620,Tunisia,France,5.62,33.7,2024-12-06,In Transit
SH-15621,Tunisia,UK,7.66,137.27,2024/11/20,Pending
SH-15622,USA,invalid,27.95,169.42,07/10/2024,Delivered
SH-15623,Spain,UK,1.59,10.41,05/01/2024,In Transit
SH-15624,Tunisia,Germany,29.36,111.3,2024/05/02,In Transit
SH-15625,Spain,Germany,,132.19,,In Transit
SH-15626,Germany,UK,-6.75,180.41,2024/08/14,In Transit
SH-15627,Spain,,35.76,160.65,2024/08/21,Delivered
SH-15628,Tunisia,Germany,26.66,12.68,2024-12-06,In Transit
SH-15629,Spain,Germany,20.47,,2024-12-25,Delivered
SH-15630,China,France,8.91,0.03,08/14/2024,Delivered
SH-15631,China,France,13.78,168.38,04/16/2024,Delivered
SH-15632,Germany,UK,4.61,188.34,,Delivered
SH-15633,Tunisia,Italy,-7.82,151.44,01/18/2024,Pending
SH-15634,Tunisia,,0.74,abc,2024-04-22,Pending
SH-15635,USA,Italy,48.46,145.88,2024/10/25,In Transit
SH-2009,Tunisia,abc,17.25,191.1,2024-10-15,In Transit
SH-15637,Germany,Italy,46.71,186.43,,Delivered
SH-15638,USA,Italy,48.47,107.08,2024-10-15,Delivered
SH-15639,USA,Italy,43.22,187.18,09/24/2024,Pending
SH-15640,Germany,Germany,45.0,abc,11/24/2024,Delivered
SH-15641,USA,,28.2,80.48,01/07/2024,In Transit
SH-2765,USA,France,9.7,36.48,2024-10-22,Delivered
SH-15643,USA,Germany,45.27,56.18,2024/02/11,In Transit
SH-15644,USA,UK,invalid,85.66,2024/12/03,Delivered
SH-15645,Germany,Germany,21.26,23.79,2024-04-16,Delivered
SH-15646,Spain,UK,15.55,18.11,2024-08-17,In Transit
SH-2226,USA,France,22.94,111.86,invalid,Delivered
SH-15648,Tunisia,abc,25.03,134.66,2024-10-21,Pending
SH-15649,Spain,Germany,,invalid,2024/06/22,Pending
SH-15650,Germany,,44.83,,2024/02/18,In Transit
SH-2797,China,,42.68,5.84,01/11/2024,Delivered
SH-15652,Tunisia,,44.9,88.43,2024-09-06,In Transit
SH-15653,China,France,15.58,12.85,abc,Delivered
SH-15654,China,Germany,16.83,107.95,08/25/2024,In Transit
SH-15655,Spain,,35.78,abc,2024-09-24,In Transit
SH-15656,USA,France,,108.46,2024/02/19,Delivered
SH-15657,Tunisia,Italy,8.12,27.03,invalid,In Transit
SH-15658,Tunisia,Germany,4.15,81.46,2024/01/25,In Transit
SH-15659,USA,Germany,-3.19,53.07,09/06/2024,Pending
SH-15660,USA,invalid,-1.91,19.17,2024-10-06,In Transit
SH-15661,USA,Germany,abc,27.33,11/13/2024,Pending
SH-15662,Germany,Germany,2.81,88.12,2024-03-21,Delivered
SH-15663,China,France,21.6,,04/10/2024,Delivered
SH-15664,Germany,France,35.03,55.61,10/19/2024,Delivered
SH-15665,Germany,Germany,abc,76.53,2024-11-08,Delivered
SH-2503,Tunisia,France,-3.03,19.31,05/27/2024,Delivered
SH-2784,China,UK,0.05,167.66,2024/10/19,Pending
SH-15668,Spain,,-6.14,20.55,2024/06/17,Pending
SH-15669,Spain,France,42.79,99.75,05/16/2024,Pending
SH-15670,USA,,46.17,166.94,05/24/2024,Pending
SH-15671,USA,Germany,invalid,,,In Transit
SH-15672,Spain,France,invalid,76.19,2024-05-20,Pending
SH-15673,China,Germany,41.61,32.27,2024-05-15,Delivered
SH-15674,USA,,47.15,invalid,01/04/2024,Pending
SH-15675,Spain,UK,5.0,95.72,,In Transit
SH-15676,Spain,France,1.86,122.67,05/06/2024,Delivered
SH-15677,USA,,30.22,131.17,2024/05/15,Delivered
SH-15678,Tunisia,Germany,27.17,95.4,,Pending
SH-15679,Spain,Germany,8.94,37.46,2024-03-13,In Transit
SH-15680,Spain,France,-5.85,18.69,2024/03/05,In Transit
SH-15681,USA,Italy,abc,,2024/04/20,Pending
SH-15682,China,,27.9,116.04,2024-04-10,Pending
SH-15683,Germany,abc,23.9,,,Delivered
SH-15684,USA,invalid,,29.75,04/07/2024,Pending
SH-15685,Spain,UK,17.83,11.75,2024/07/09,Pending
SH-15686,China,,,138.51,2024/06/06,Delivered
SH-15687,Spain,,30.17,86.22,2024/10/01,Delivered
SH-2290,China,Germany,40.53,-9.42,2024-01-20,Delivered
SH-15689,China,,43.6,43.68,06/12/2024,Pending
SH-2013,Germany,,12.75,44.63,,Pending
SH-15691,USA,Germany,,87.68,2024-09-06,Pending
SH-2279,Spain,Italy,48.09,-2.82,09/11/2024,In Transit
SH-2015,Spain,UK,33.64,105.7,invalid,Pending
SH-2867,Spain,France,0.2,148.09,06/03/2024,Delivered
SH-15695,USA,Italy,,191.31,2024-02-16,Delivered
SH-15696,China,France,-1.28,109.33,2024-06-17,Pending
SH-15697,Germany,Germany,0.74,67.63,12/24/2024,Pending
SH-15698,Spain,France,abc,144.87,2024-03-18,Delivered
SH-15699,Tunisia,UK,6.57,134.62,06/24/2024,Delivered
SH-15700,USA,Italy,32.9,abc,2024/12/24,Delivered
SH-15701,Germany,UK,29.2,90.24,2024/03/08,Delivered
SH-15702,Spain,UK,42.91,-8.58,2024-09-11,Pending
SH-15703,Tunisia,France,-1.31,-8.75,2024-04-09,In Transit
SH-15704,USA,,-4.8,196.44,2024-04-23,Delivered
SH-15705,China,France,12.59,-18.87,2024-09-21,In Transit
SH-15706,China,UK,49.82,21.83,2024/09/22,Pending
SH-15707,Germany,,18.21,134.83,2024/05/04,Delivered
SH-15708,Tunisia,,13.52,-14.49,2024/12/01,Pending
SH-2248,USA,France,12.43,39.58,2024/06/26,Delivered
SH-15710,Germany,Italy,-4.16,35.45,2024-10-02,In Transit
SH-15711,Germany,Italy,41.48,105.07,abc,Pending
SH-2428,USA,Germany,,149.01,03/21/2024,Delivered
SH-15713,Germany,Germany,abc,128.16,,Pending
SH-2923,Germany,Italy,,108.73,2024/07/10,Pending
SH-15715,Germany,UK,invalid,95.05,01/05/2024,In Transit
SH-15716,USA,Germany,25.71,115.93,2024-12-13,Pending
SH-15717,Germany,abc,8.67,64.59,2024/01/14,Pending
SH-2405,Spain,UK,17.92,71.37,abc,Pending
SH-15719,China,,-4.57,159.04,,In Transit
SH-15720,China,,abc,96.92,2024/11/19,In Transit
SH-2659,USA,,-8.53,97.33,invalid,In Transit
SH-15722,USA,Italy,18.7,128.31,2024/11/03,Delivered
SH-2086,China,,42.81,176.95,2024/03/19,Pending
SH-15724,Spain,UK,21.61,100.75,2024/02/14,Pending
SH-15725,China,abc,41.39,131.85,10/27/2024,Pending
SH-15726,Spain,Italy,26.29,138.26,04/28/2024,Delivered
SH-15727,China,Italy,-4.42,9.28,2024/01/07,Pending
SH-15728,Spain,France,12.74,47.2,2024-03-06,In Transit
SH-15729,Spain,Italy,38.42,132.48,2024/03/17,Pending
SH-15730,Germany,Italy,9.71,111.01,2024-12-28,In Transit
SH-2319,China,,16.37,abc,10/10/2024,Pending
SH-15732,Spain,,37.05,177.06,2024-03-07,Delivered
SH-15733,Spain,Italy,3.9,18.69,11/19/2024,In Transit
SH-15734,USA,Germany,26.99,,2024/04/06,In Transit
SH-15735,Spain,UK,13.71,183.53,2024-03-09,Pending
SH-15736,USA,Italy,4.46,-10.65,03/26/2024,Pending
SH-15737,Germany,,32.84,68.1,2024/06/26,Delivered
SH-15738,Tunisia,France,49.34,145.96,,In Transit
SH-15739,USA,,2.51,-15.26,2024-07-07,In Transit
SH-15740,China,,abc,,07/12/2024,Delivered
SH-15741,Tunisia,,41.94,33.7,10/28/2024,In Transit
SH-15742,Germany,invalid,22.27,66.18,2024/05/23,In Transit
SH-15743,USA,France,-2.03,invalid,2024-07-04,Pending
SH-15744,Spain,UK,41.45,82.64,09/22/2024,Delivered
SH-15745,Spain,Italy,48.89,56.5,07/21/2024,In Transit
SH-15746,China,France,30.7,abc,2024/07/10,Delivered
SH-2839,China,UK,-1.71,74.97,2024-01-01,Pending
SH-15748,China,France,14.12,78.01,04/12/2024,In Transit
SH-15749,USA,Italy,0.43,,invalid,Delivered
SH-15750,USA,Germany,8.74,124.01,,Delivered
SH-15751,Spain,,-8.94,39.13,2024/07/16,In Transit
SH-15752,China,France,30.21,86.04,abc,Delivered
SH-2062,Tunisia,,-5.87,175.39,2024-04-21,Delivered
SH-15754,USA,,47.53,-15.33,2024/06/13,Delivered
SH-2077,Germany,Italy,2.33,27.33,02/14/2024,Delivered
SH-15756,Tunisia,Germany,40.78,124.77,,In Transit
SH-15757,USA,France,3.93,51.07,2024-08-14,Delivered
SH-15758,Germany,France,14.53,73.55,abc,Pending
SH-15759,Tunisia,UK,28.84,170.04,09/13/2024,Delivered
SH-15760,Germany,,48.43,24.0,2024/04/12,In Transit
SH-15761,USA,,48.14,0.89,09/13/2024,Pending
SH-15762,Tunisia,Germany,24.95,,2024-01-02,Delivered
SH-15763,USA,Germany,21.31,136.86,2024-12-23,Delivered
SH-15764,Tunisia,Italy,48.04,abc,invalid,Pending
SH-15765,Germany,UK,,173.77,12/03/2024,Delivered
SH-15766,Germany,,16.29,192.54,2024-05-01,Delivered
SH-15767,Tunisia,,32.1,-18.49,2024/07/04,Delivered
SH-15768,Spain,Italy,47.63,-7.08,2024/05/01,In Transit
SH-15769,China,Italy,12.13,198.78,2024-08-16,Delivered
SH-15770,Tunisia,Germany,12.34,15.92,11/27/2024,Pending
SH-15771,China,,43.94,17.02,2024/06/22,In Transit
SH-15772,Germany,,abc,-12.21,2024-07-24,Pending
SH-15773,Germany,,-2.88,32.31,,Pending
SH-15774,Germany,France,invalid,117.18,2024-06-25,In Transit
SH-15775,Germany,UK,16.75,146.54,02/28/2024,Pending
SH-15776,Tunisia,Italy,38.42,170.56,2024/12/19,Delivered
SH-2602,Spain,,19.9,105.99,04/24/2024,Pending
SH-15778,China,Germany,2.29,78.74,02/13/2024,Pending
SH-15779,USA,UK,41.74,78.19,2024/10/12,In Transit
SH-15780,Tunisia,Italy,13.61,50.7,2024-02-01,Pending
SH-15781,China,France,-4.13,123.56,09/08/2024,Delivered
SH-15782,USA,abc,13.13,179.2,2024-11-06,Delivered
SH-15783,Germany,Germany,0.85,114.63,06/13/2024,Delivered
SH-15784,Spain,France,23.02,41.8,,In Transit
SH-2125,Germany,,39.2,68.67,2024-04-03,Delivered
SH-15786,Germany,,49.6,53.65,2024/07/25,Pending
SH-15787,China,,5.93,12.84,2024-09-24,Pending
SH-15788,China,,35.88,51.14,09/23/2024,Pending
SH-15789,Spain,UK,,98.94,2024-09-14,In Transit
SH-15790,Germany,UK,42.92,-16.41,2024-04-08,Pending
SH-15791,Spain,Germany,abc,186.78,2024-08-26,Pending
SH-15792,Tunisia,France,50.0,190.1,2024/01/04,Pending
SH-15793,Germany,Germany,42.32,33.67,,In Transit
SH-15794,China,,,45.46,2024/12/06,Pending
SH-15795,China,UK,1.15,90.9,2024-03-05,Pending
SH-15796,USA,,25.37,96.76,04/13/2024,Delivered
SH-15797,USA,Germany,40.59,invalid,2024-01-12,In Transit
SH-15798,China,,1.87,99.46,2024/02/15,Delivered
SH-2431,Tunisia,,0.36,64.73,2024/09/10,In Transit
SH-15800,Germany,,38.85,abc,2024/06/23,In Transit
SH-15801,Tunisia,,46.94,93.23,03/01/2024,In Transit
SH-15802,Spain,Germany,11.23,141.62,invalid,Delivered
SH-15803,Germany,France,14.76,127.38,invalid,In Transit
SH-15804,Germany,Germany,11.51,166.76,abc,Delivered
SH-15805,Spain,Germany,46.06,117.65,2024/08/24,Delivered
SH-15806,Tunisia,Italy,4.98,140.05,09/12/2024,Pending
SH-15807,China,France,1.49,18.63,2024/02/27,In Transit
SH-15808,USA,Italy,29.33,56.44,2024/01/27,Delivered
SH-15809,Tunisia,France,,140.77,12/10/2024,Pending
SH-2130,USA,France,6.61,2.02,2024/10/21,In Transit
SH-2259,Spain,UK,30.87,-4.9,04/11/2024,In Transit
SH-15812,Tunisia,,48.49,41.51,2024-08-05,Delivered
SH-2132,China,UK,37.03,44.56,2024-09-03,Delivered
SH-15814,Tunisia,Italy,45.32,130.49,2024-02-23,Delivered
SH-15815,USA,Germany,-5.62,67.9,2024-02-18,Delivered
SH-15816,Germany,Germany,33.19,157.08,2024-07-13,Pending
SH-15817,Spain,Germany,,161.79,05/28/2024,Delivered
SH-15818,China,Germany,31.34,56.5,11/26/2024,In Transit
SH-15819,Germany,France,,134.61,10/02/2024,In Transit
SH-15820,USA,,20.73,195.94,10/06/2024,In Transit
