origin,destination,weight,delivery_date,status
Spain,Italy,37.04,2024-10-19,Pending
China,France,7.95,2024-11-06,Pending
USA,France,47.95,2024-06-24,In Transit
Germany,France,40.22,2024-04-07,Delivered
Germany,Germany,6.73,2024-10-09,Pending
Tunisia,France,7.95,2024-03-20,Pending
China,Germany,-5.85,2024-10-09,In Transit
Tunisia,France,-4.71,2024-08-24,Delivered
USA,France,27.21,2024-10-09,Delivered
Tunisia,UK,46.2,2024-05-08,In Transit
Germany,Germany,48.31,2024-10-09,Delivered
China,France,44.91,2024-01-09,Pending
Spain,France,32.71,2024-10-09,In Transit
Germany,Germany,15.13,2024-08-05,In Transit
China,France,7.95,2024-12-16,Pending
Spain,Italy,16.18,2024-07-14,In Transit
USA,France,7.95,2024-03-18,Pending
China,France,10.3,2024-12-20,In Transit
Germany,France,39.5,2024-05-10,In Transit
Tunisia,France,7.95,2024-10-28,Delivered
Germany,Germany,11.07,2024-10-09,Delivered
Tunisia,Germany,33.21,2024-10-01,In Transit
USA,France,27.89,2024-10-09,Delivered
China,Italy,36.6,2024-10-09,In Transit
Tunisia,Germany,3.95,2024-05-09,In Transit
Germany,France,-4.61,2024-10-05,Pending
Tunisia,France,45.19,2024-09-22,Pending
China,France,47.57,2024-09-23,In Transit
Tunisia,Italy,3.19,2024-08-09,Pending
Germany,UK,7.95,2024-11-02,Delivered
Germany,France,19.37,2024-02-10,In Transit
Spain,Germany,0.97,2024-01-05,Pending
Spain,France,36.91,2024-04-04,Pending
USA,Germany,34.51,2024-08-10,In Transit
USA,France,-1.91,2024-04-12,In Transit
Spain,Germany,47.36,2024-01-02,In Transit
Germany,France,13.36,2024-10-04,Pending
USA,France,7.95,2024-02-15,Delivered
Germany,France,44.51,2024-10-09,In Transit
Tunisia,France,-7.88,2024-02-21,In Transit
USA,France,27.11,2024-01-11,Pending
Tunisia,Italy,-3.74,2024-08-26,Pending
Tunisia,Germany,-7.94,2024-10-09,Delivered
China,France,6.57,2024-11-13,Delivered
Tunisia,UK,4.51,2024-12-20,Delivered
China,France,11.03,2024-04-12,Delivered
Spain,Germany,33.63,2024-02-02,Delivered
Tunisia,UK,37.19,2024-04-26,Delivered
Tunisia,France,0.01,2024-02-14,Delivered
Spain,Italy,7.62,2024-09-23,In Transit
USA,France,46.91,2024-02-07,In Transit
USA,UK,14.76,2024-10-09,Delivered
Spain,France,-3.96,2024-02-11,Delivered
Tunisia,UK,12.18,2024-11-18,Pending
China,France,41.67,2024-07-16,Delivered
Spain,France,5.34,2024-01-05,In Transit
China,France,18.45,2024-10-09,Pending
Germany,Germany,27.79,2024-10-09,In Transit
USA,Germany,7.95,2024-09-02,In Transit
Germany,UK,2.41,2024-06-22,In Transit
China,Italy,21.06,2024-10-06,Delivered
China,UK,26.83,2024-10-09,Pending
USA,France,44.77,2024-09-14,Delivered
USA,Italy,7.95,2024-05-26,Delivered
Spain,UK,14.71,2024-10-09,Pending
Germany,France,26.92,2024-10-09,In Transit
Tunisia,France,30.72,2024-05-06,Delivered
Tunisia,Germany,21.54,2024-07-15,In Transit
Spain,Germany,49.04,2024-01-18,In Transit
Spain,France,-9.36,2024-10-26,Pending
Tunisia,France,44.6,2024-04-16,Pending
USA,UK,14.05,2024-06-06,Delivered
Germany,Germany,16.79,2024-11-02,Pending
USA,Germany,24.19,2024-09-11,In Transit
China,France,23.82,2024-09-05,In Transit
Spain,Italy,3.84,2024-01-14,Pending
Spain,Germany,1.58,2024-10-09,Delivered
Spain,Italy,31.45,2024-11-26,Pending
Tunisia,Germany,45.62,2024-03-25,Pending
Tunisia,France,19.45,2024-10-09,In Transit
Tunisia,France,15.22,2024-08-07,Pending
USA,UK,20.27,2024-02-01,Pending
Tunisia,France,7.95,2024-01-19,Delivered
Germany,France,-1.71,2024-10-09,In Transit
Germany,UK,7.95,2024-01-08,Delivered
Tunisia,UK,7.58,2024-06-09,In Transit
USA,Italy,2.89,2024-03-01,In Transit
USA,France,-9.98,2024-12-01,Delivered
USA,UK,7.95,2024-04-12,Delivered
USA,Germany,5.43,2024-11-28,Pending
USA,UK,-7.37,2024-04-13,In Transit
Spain,France,42.07,2024-03-02,Pending
Spain,Germany,17.33,2024-04-20,In Transit
Tunisia,UK,29.47,2024-09-13,In Transit
USA,France,7.95,2024-01-04,Delivered
USA,France,-8.82,2024-12-22,In Transit
USA,France,45.85,2024-10-02,Pending
USA,France,20.74,2024-10-09,Delivered
Germany,France,7.95,2024-09-16,Pending
Spain,Germany,7.95,2024-01-23,Delivered
USA,France,39.72,2024-08-11,Pending
Germany,Italy,0.38,2024-07-26,Pending
Germany,Germany,34.07,2024-08-25,Pending
USA,Italy,4.46,2024-06-07,Pending
USA,France,-6.14,2024-09-07,Pending
USA,France,5.85,2024-05-21,In Transit
USA,France,22.17,2024-04-04,In Transit
USA,UK,11.89,2024-10-09,Delivered
China,France,33.42,2024-05-20,In Transit
Spain,France,1.33,2024-06-06,Delivered
Spain,France,-4.37,2024-09-06,In Transit
USA,UK,33.92,2024-11-23,In Transit
Tunisia,France,43.79,2024-10-11,In Transit
Spain,Germany,-7.29,2024-05-12,Delivered
Tunisia,France,17.34,2024-10-22,In Transit
China,UK,7.95,2024-06-10,Pending
USA,UK,30.65,2024-01-23,Pending
China,France,41.94,2024-11-27,In Transit
Spain,France,7.95,2024-07-26,In Transit
Germany,UK,45.21,2024-07-12,In Transit
Germany,Germany,7.95,2024-12-24,Pending
Spain,Italy,44.61,2024-12-18,Pending
China,France,38.74,2024-03-04,Delivered
Spain,France,43.26,2024-07-22,Pending
Germany,Italy,-6.54,2024-10-09,Pending
Germany,France,43.79,2024-02-06,In Transit
USA,Germany,23.29,2024-08-08,In Transit
Tunisia,Italy,30.79,2024-03-24,Pending
USA,France,41.02,2024-01-11,Pending
China,Italy,7.95,2024-11-14,Pending
Spain,France,0.68,2024-06-27,Delivered
China,Germany,27.89,2024-05-23,In Transit
Spain,Germany,7.95,2024-07-04,Delivered
Tunisia,Italy,40.2,2024-01-01,Pending
Spain,Germany,42.38,2024-07-24,Delivered
USA,Germany,-1.34,2024-01-02,Delivered
Spain,Italy,28.51,2024-05-28,Pending
Spain,France,28.51,2024-12-25,Delivered
Germany,France,-6.36,2024-10-09,Pending
USA,France,-1.92,2024-06-26,Pending
Germany,France,38.78,2024-04-14,In Transit
Germany,France,34.11,2024-04-22,In Transit
China,France,2.82,2024-07-06,Pending
Spain,Italy,11.83,2024-07-23,Pending
China,Germany,11.79,2024-08-05,In Transit
Germany,France,36.2,2024-10-09,Pending
China,France,47.41,2024-09-24,Pending
Spain,France,10.93,2024-03-06,In Transit
Spain,UK,-1.31,2024-10-09,Pending
Spain,France,-8.66,2024-05-13,In Transit
Spain,France,7.95,2024-03-19,Pending
Tunisia,Germany,33.38,2024-08-26,Delivered
Tunisia,France,35.15,2024-10-14,Delivered
Spain,UK,5.36,2024-07-05,Delivered
China,Italy,35.39,2024-01-27,Delivered
Spain,Germany,7.95,2024-01-22,Pending
Tunisia,UK,3.72,2024-07-13,Pending
Germany,UK,2.87,2024-06-28,Delivered
Spain,Italy,14.42,2024-11-27,Delivered
Tunisia,Italy,-0.3,2024-07-27,Delivered
China,France,-1.33,2024-10-09,Delivered
Spain,UK,49.46,2024-02-09,In Transit
Spain,Germany,7.95,2024-09-02,Pending
China,France,22.91,2024-05-20,Pending
Germany,France,-5.1,2024-05-04,Pending
China,France,2.36,2024-03-23,Delivered
USA,France,48.99,2024-08-08,Delivered
Germany,UK,39.89,2024-08-15,Pending
China,France,7.95,2024-10-18,In Transit
China,Germany,7.95,2024-12-08,In Transit
Germany,France,0.85,2024-03-10,Pending
Germany,UK,32.58,2024-03-20,Delivered
China,France,42.47,2024-10-11,In Transit
Germany,France,-4.85,2024-10-12,In Transit
USA,France,-7.16,2024-04-28,Delivered
Tunisia,France,34.57,2024-03-25,In Transit
China,Germany,23.41,2024-10-15,Delivered
Germany,France,27.78,2024-04-20,Pending
Spain,France,41.54,2024-10-07,Delivered
Germany,France,8.2,2024-12-08,Delivered
Tunisia,France,17.88,2024-03-18,Pending
Tunisia,Italy,5.22,2024-08-19,Delivered
USA,UK,36.97,2024-09-23,Pending
China,France,5.98,2024-08-17,In Transit
Germany,Germany,38.17,2024-11-14,Pending
USA,UK,43.26,2024-11-02,In Transit
Spain,UK,37.37,2024-02-10,Delivered
Tunisia,France,49.84,2024-08-17,Delivered
Tunisia,UK,7.95,2024-09-26,In Transit
USA,France,13.7,2024-03-09,Pending
Germany,UK,-7.95,2024-08-20,Delivered
Tunisia,Germany,10.75,2024-01-20,In Transit
Tunisia,France,28.49,2024-10-09,Delivered
Spain,France,13.33,2024-09-15,Delivered
Tunisia,Italy,7.95,2024-08-23,In Transit
China,Italy,19.67,2024-10-09,Pending
USA,France,5.58,2024-08-22,In Transit
USA,Italy,-6.04,2024-06-12,In Transit
Germany,France,34.44,2024-05-23,In Transit
China,Italy,-5.75,2024-05-10,Pending
Germany,France,35.42,2024-02-03,Delivered
USA,France,40.75,2024-10-09,Delivered
USA,France,33.11,2024-02-28,Delivered
Spain,Italy,0.08,2024-10-09,Pending
Spain,France,43.64,2024-02-27,In Transit
Tunisia,France,-3.95,2024-08-28,Pending
Germany,Germany,11.46,2024-03-19,In Transit
USA,UK,5.0,2024-03-19,Pending
Spain,France,7.72,2024-04-02,In Transit
Tunisia,Italy,6.45,2024-04-23,In Transit
China,France,31.86,2024-05-15,Pending
Germany,France,16.28,2024-10-09,Delivered
China,Italy,29.97,2024-09-01,Delivered
Germany,France,15.58,2024-11-21,Delivered
USA,Italy,33.8,2024-07-03,In Transit
China,France,44.0,2024-12-17,In Transit
China,France,7.95,2024-09-10,Pending
Spain,Germany,33.61,2024-03-25,Delivered
China,UK,-3.93,2024-10-02,Pending
Spain,France,16.54,2024-06-15,In Transit
Spain,Italy,35.47,2024-08-27,Pending
Germany,Italy,30.47,2024-03-07,Pending
Germany,France,36.92,2024-05-11,In Transit
China,France,20.99,2024-11-16,Delivered
China,Germany,38.93,2024-08-06,Delivered
China,Germany,15.41,2024-05-13,Pending
Tunisia,Germany,32.6,2024-05-19,In Transit
Spain,France,-9.63,2024-11-12,Pending
Germany,France,-8.54,2024-08-17,In Transit
USA,Germany,-4.69,2024-12-10,Pending
Tunisia,Germany,32.95,2024-02-25,In Transit
Germany,France,46.73,2024-04-04,Delivered
Tunisia,France,32.09,2024-09-03,Pending
Tunisia,Germany,7.95,2024-05-25,In Transit
Germany,UK,11.15,2024-08-28,Delivered
USA,Germany,25.36,2024-10-09,In Transit
USA,UK,7.95,2024-02-05,In Transit
China,France,47.46,2024-01-14,Delivered
Germany,Germany,6.57,2024-12-09,In Transit
USA,France,39.21,2024-03-10,In Transit
USA,Italy,9.06,2024-04-08,Delivered
Germany,France,20.12,2024-11-17,Pending
China,UK,-6.12,2024-03-04,Pending
Spain,UK,7.95,2024-12-16,Delivered
Tunisia,Germany,7.95,2024-12-01,Delivered
Germany,Germany,28.72,2024-02-10,Pending
USA,France,14.51,2024-11-22,In Transit
USA,Italy,18.59,2024-04-28,In Transit
Germany,UK,49.78,2024-04-15,In Transit
Tunisia,France,29.45,2024-02-16,Pending
Spain,France,48.6,2024-11-11,Pending
USA,France,17.31,2024-06-01,Pending
China,Germany,47.15,2024-10-09,In Transit
China,Italy,-5.01,2024-07-15,Pending
USA,UK,37.27,2024-09-21,Delivered
Tunisia,Germany,44.87,2024-10-25,In Transit
Germany,France,-9.17,2024-10-09,Delivered
Germany,Germany,34.71,2024-04-27,In Transit
Germany,UK,20.22,2024-04-18,In Transit
Germany,France,18.68,2024-05-11,In Transit
Tunisia,France,2.57,2024-08-18,Pending
Spain,Germany,35.27,2024-12-26,Delivered
USA,France,17.17,2024-04-14,In Transit
Tunisia,France,31.48,2024-02-05,Pending
USA,Italy,22.36,2024-05-04,In Transit
China,Italy,17.25,2024-06-28,In Transit
Tunisia,France,7.95,2024-03-21,Pending
Spain,France,12.81,2024-08-07,Delivered
USA,France,-7.2,2024-04-18,Delivered
USA,Germany,41.19,2024-06-13,Pending
China,France,15.96,2024-10-16,Pending
China,UK,25.66,2024-01-19,In Transit
Spain,France,-2.88,2024-07-09,Pending
USA,France,7.95,2024-08-14,Pending
USA,Italy,32.88,2024-10-17,Delivered
Tunisia,Italy,7.58,2024-02-09,In Transit
Spain,UK,-4.83,2024-08-03,Pending
China,Germany,11.31,2024-10-09,Pending
Germany,France,7.69,2024-10-08,Pending
China,UK,11.74,2024-08-13,In Transit
Germany,France,34.99,2024-06-09,In Transit
Tunisia,France,10.83,2024-11-27,Pending
Tunisia,France,32.24,2024-07-21,Delivered
Tunisia,France,1.52,2024-05-28,In Transit
Spain,France,28.63,2024-07-07,Delivered
China,UK,-0.49,2024-10-17,Delivered
China,Germany,22.89,2024-10-09,Pending
Tunisia,UK,7.95,2024-07-28,Pending
Germany,UK,22.5,2024-06-22,Pending
Spain,Italy,18.92,2024-04-14,Delivered
Spain,France,27.66,2024-12-08,In Transit
Tunisia,France,7.86,2024-01-04,Pending
China,Germany,7.95,2024-10-12,Delivered
USA,Italy,36.99,2024-11-15,In Transit
Tunisia,Italy,26.14,2024-02-21,Delivered
China,Italy,1.27,2024-11-01,Delivered
Tunisia,France,34.78,2024-09-24,Pending
China,France,1.06,2024-02-01,Pending
USA,France,-1.97,2024-10-27,Delivered
Spain,France,26.96,2024-12-25,In Transit
Tunisia,France,-7.97,2024-03-15,Pending
Spain,Germany,47.93,2024-02-10,In Transit
China,France,18.76,2024-02-13,In Transit
Germany,France,7.95,2024-02-16,Delivered
USA,Germany,-2.85,2024-04-23,Delivered
USA,UK,3.85,2024-08-19,Pending
China,France,14.84,2024-03-24,Pending
USA,France,41.61,2024-02-26,Delivered
Germany,France,35.21,2024-04-08,Pending
Tunisia,France,45.01,2024-09-15,In Transit
Spain,UK,8.7,2024-09-17,Pending
Spain,France,34.66,2024-07-09,In Transit
Germany,France,7.95,2024-03-22,Delivered
Germany,France,17.62,2024-12-17,Pending
Spain,France,39.81,2024-04-28,In Transit
Germany,France,31.81,2024-08-26,Delivered
USA,France,3.87,2024-02-21,Delivered
Spain,France,23.38,2024-03-08,Pending
Spain,UK,27.91,2024-04-20,Delivered
Tunisia,UK,12.75,2024-12-16,In Transit
Spain,UK,-3.74,2024-08-08,Pending
Germany,Italy,8.5,2024-09-25,Delivered
China,France,12.89,2024-09-06,Pending
Tunisia,France,-3.73,2024-06-13,Delivered
Spain,Germany,15.32,2024-06-11,Pending
Germany,UK,-4.78,2024-05-08,Delivered
USA,France,45.75,2024-10-03,Delivered
China,Italy,7.95,2024-05-07,In Transit
Germany,Italy,0.57,2024-10-04,Delivered
Tunisia,Germany,33.8,2024-02-10,In Transit
Spain,Italy,11.36,2024-01-17,In Transit
China,Germany,10.74,2024-05-18,Delivered
China,France,4.64,2024-11-26,Delivered
USA,France,0.82,2024-10-01,Delivered
Germany,France,7.95,2024-12-17,Pending
Tunisia,UK,7.95,2024-07-20,Delivered
China,France,5.75,2024-05-22,In Transit
Tunisia,UK,25.49,2024-12-12,Pending
China,France,14.76,2024-04-25,Pending
Germany,UK,15.09,2024-10-09,Delivered
USA,UK,24.51,2024-02-10,In Transit
China,UK,35.44,2024-10-01,Delivered
Germany,France,21.78,2024-10-09,Pending
Germany,France,48.32,2024-10-19,In Transit
Spain,France,20.77,2024-04-26,Pending
Tunisia,Germany,23.39,2024-08-26,Delivered
Germany,France,30.88,2024-05-13,Delivered
Tunisia,France,-9.7,2024-07-24,In Transit
China,UK,43.84,2024-11-11,Delivered
Germany,Germany,11.84,2024-09-14,Delivered
USA,Italy,7.95,2024-06-23,Delivered
Spain,France,47.28,2024-10-09,In Transit
Tunisia,UK,34.85,2024-10-09,In Transit
China,France,10.16,2024-11-23,In Transit
USA,France,15.0,2024-10-09,Pending
Tunisia,France,13.43,2024-10-27,In Transit
USA,France,0.16,2024-09-25,Pending
China,Italy,22.27,2024-11-09,Pending
USA,Germany,-9.45,2024-10-09,Delivered
Tunisia,France,40.62,2024-11-15,Delivered
Spain,France,-5.9,2024-10-09,In Transit
Germany,France,16.35,2024-11-25,Pending
Tunisia,France,4.75,2024-10-24,In Transit
China,UK,38.27,2024-10-09,Delivered
China,UK,30.5,2024-02-04,In Transit
Spain,France,-8.62,2024-07-18,In Transit
Spain,France,-7.0,2024-02-05,Delivered
Tunisia,Italy,36.49,2024-12-08,In Transit
Spain,Italy,0.92,2024-06-28,Delivered
Germany,France,-0.66,2024-05-28,Pending
Tunisia,France,7.95,2024-09-12,Delivered
China,Italy,49.53,2024-01-04,Pending
China,France,33.85,2024-06-02,Pending
Spain,Italy,36.64,2024-01-15,Delivered
Spain,Italy,7.95,2024-10-04,Pending
USA,Germany,16.45,2024-12-04,In Transit
Tunisia,France,40.55,2024-12-23,Delivered
USA,UK,47.55,2024-11-10,In Transit
Germany,France,24.01,2024-08-14,Pending
Tunisia,France,-2.06,2024-09-08,Pending
Tunisia,France,7.95,2024-02-12,In Transit
Spain,Germany,7.95,2024-08-06,Delivered
Germany,France,28.4,2024-12-22,Pending
USA,France,42.85,2024-09-12,In Transit
USA,UK,18.91,2024-05-16,In Transit
China,France,-3.8,2024-12-04,Pending
Spain,Germany,39.49,2024-07-06,Delivered
Spain,Germany,-7.52,2024-04-06,Pending
Spain,France,7.95,2024-07-01,Delivered
Spain,Italy,21.88,2024-03-03,In Transit
Tunisia,UK,34.71,2024-08-02,Delivered
Germany,UK,24.34,2024-10-02,Delivered
Germany,UK,7.95,2024-06-17,Pending
USA,France,45.46,2024-01-26,Pending
China,France,40.41,2024-11-17,Pending
Germany,France,39.71,2024-07-02,Pending
USA,France,31.5,2024-10-27,Pending
Tunisia,France,5.51,2024-10-05,In Transit
USA,Italy,9.32,2024-12-02,Pending
Germany,France,7.2,2024-10-09,In Transit
Germany,France,43.88,2024-02-12,Pending
Germany,France,41.72,2024-07-27,Pending
China,France,35.48,2024-10-09,Pending
Germany,France,7.13,2024-04-03,Pending
Spain,Italy,-3.52,2024-03-15,Pending
Spain,France,7.72,2024-02-14,Delivered
USA,UK,7.95,2024-09-14,In Transit
China,Germany,29.65,2024-10-09,In Transit
China,Germany,9.31,2024-04-06,Delivered
Tunisia,France,-4.55,2024-12-27,Delivered
Spain,Germany,15.42,2024-04-01,Pending
Tunisia,Italy,34.88,2024-07-15,In Transit
Spain,France,-4.97,2024-10-03,Delivered
Germany,Germany,47.55,2024-04-09,Delivered
Spain,France,7.95,2024-03-25,Pending
Germany,Italy,7.95,2024-09-03,Delivered
USA,France,-5.61,2024-01-12,In Transit
Tunisia,France,5.33,2024-11-28,In Transit
Tunisia,UK,11.41,2024-06-09,In Transit
Germany,France,23.08,2024-10-09,Delivered
USA,Germany,37.61,2024-03-19,Pending
USA,Italy,47.12,2024-03-23,Delivered
China,Italy,40.34,2024-10-14,Delivered
China,UK,15.93,2024-12-11,In Transit
USA,France,46.72,2024-12-11,Delivered
Tunisia,France,-6.95,2024-06-18,Pending
Tunisia,Italy,41.13,2024-06-15,Pending
Tunisia,France,37.21,2024-05-14,Pending
Spain,France,39.97,2024-10-09,Pending
USA,Italy,20.67,2024-03-27,Pending
Spain,France,7.35,2024-12-01,Pending
USA,Germany,45.31,2024-07-20,Pending
China,France,7.81,2024-11-02,Delivered
Germany,Germany,7.95,2024-09-01,In Transit
China,Italy,7.85,2024-11-05,Delivered
Tunisia,France,25.21,2024-07-24,Pending
China,France,24.31,2024-10-07,Pending
Germany,France,-4.36,2024-08-15,Delivered
Spain,UK,-6.76,2024-06-17,In Transit
China,France,43.71,2024-06-23,Delivered
Tunisia,France,-9.58,2024-10-09,Pending
Tunisia,France,-1.5,2024-03-23,Delivered
China,France,7.95,2024-07-08,Delivered
China,France,39.81,2024-05-27,In Transit
USA,France,44.16,2024-08-17,In Transit
USA,France,14.69,2024-12-06,In Transit
USA,France,-6.41,2024-02-25,In Transit
Spain,France,46.23,2024-01-01,Delivered
Spain,Italy,19.02,2024-04-28,Pending
Tunisia,Germany,31.86,2024-10-09,In Transit
China,France,38.16,2024-06-24,Delivered
USA,Germany,44.34,2024-04-07,In Transit
Germany,France,14.57,2024-11-01,Pending
Spain,France,7.95,2024-10-24,In Transit
USA,Italy,25.46,2024-10-09,Delivered
Spain,France,4.29,2024-07-26,Pending
China,France,37.96,2024-06-15,In Transit
Tunisia,France,-2.28,2024-05-10,In Transit
Spain,France,10.88,2024-07-11,Pending
Tunisia,France,22.62,2024-01-19,In Transit
Germany,UK,2.26,2024-05-03,Delivered
Tunisia,France,44.91,2024-05-28,Pending
USA,Italy,32.66,2024-11-12,In Transit
Tunisia,UK,20.9,2024-07-28,In Transit
Tunisia,Germany,2.39,2024-01-26,In Transit
USA,UK,28.82,2024-03-17,In Transit
Germany,Germany,7.95,2024-12-27,Delivered
Spain,France,-8.86,2024-02-18,In Transit
USA,France,49.3,2024-03-22,Pending
Germany,Italy,7.95,2024-08-10,Pending
Germany,UK,6.36,2024-10-13,In Transit
Spain,UK,-5.32,2024-11-04,Pending
China,France,43.48,2024-04-13,In Transit
China,Germany,37.16,2024-06-23,Delivered
China,France,24.21,2024-12-10,In Transit
Tunisia,France,15.45,2024-05-10,Delivered
Tunisia,Italy,-7.34,2024-01-05,Pending
Tunisia,Italy,2.48,2024-03-21,In Transit
Tunisia,France,1.94,2024-04-27,Pending
USA,Germany,7.95,2024-06-18,Pending
Tunisia,Italy,7.95,2024-04-06,Delivered
Tunisia,France,2.29,2024-08-15,In Transit
Germany,France,7.95,2024-05-17,Pending
China,Italy,15.41,2024-10-09,Pending
Tunisia,Germany,46.74,2024-08-21,Delivered
USA,Italy,7.95,2024-02-10,Pending
Tunisia,Italy,18.0,2024-01-05,Delivered
USA,France,32.09,2024-10-09,Pending
USA,Italy,7.95,2024-09-06,In Transit
Spain,France,7.95,2024-11-24,In Transit
Tunisia,France,19.99,2024-08-02,Delivered
Tunisia,France,40.93,2024-10-09,Pending
Tunisia,Italy,16.71,2024-04-09,In Transit
Tunisia,UK,45.5,2024-07-19,Delivered
Germany,France,7.95,2024-12-08,In Transit
Germany,Germany,34.35,2024-10-22,Delivered
Tunisia,Italy,21.59,2024-10-27,Pending
USA,France,7.95,2024-11-23,Delivered
Germany,UK,9.7,2024-10-09,In Transit
USA,France,7.66,2024-02-09,In Transit
Tunisia,Italy,-0.92,2024-07-05,Delivered
Spain,Germany,43.92,2024-07-17,Pending
Spain,Italy,7.95,2024-11-22,In Transit
Spain,France,-0.6,2024-10-09,Delivered
Spain,France,11.28,2024-07-17,Delivered
Spain,France,24.27,2024-07-27,Pending
Tunisia,Italy,4.47,2024-02-25,In Transit
Germany,France,15.6,2024-05-09,In Transit
Tunisia,France,-2.41,2024-03-12,Delivered
Spain,France,28.85,2024-10-09,In Transit
Tunisia,UK,23.46,2024-11-08,In Transit
Germany,France,7.95,2024-03-12,Delivered
USA,Italy,-5.02,2024-07-03,In Transit
Spain,Germany,7.95,2024-03-08,Pending
Germany,Germany,37.88,2024-06-20,In Transit
Germany,France,7.95,2024-12-09,Delivered
Germany,France,7.95,2024-05-15,Pending
USA,Italy,23.4,2024-10-09,In Transit
Tunisia,France,21.1,2024-10-13,In Transit
USA,France,7.95,2024-06-20,Delivered
Germany,Germany,-7.84,2024-05-09,Delivered
China,UK,5.43,2024-10-09,In Transit
Tunisia,France,31.52,2024-08-09,Delivered
China,France,5.66,2024-06-23,Delivered
Tunisia,France,-8.87,2024-10-09,In Transit
China,France,-1.56,2024-05-15,Delivered
Tunisia,Germany,48.36,2024-12-27,Pending
Spain,France,8.57,2024-10-05,Delivered
Germany,Germany,44.29,2024-08-12,Pending
China,France,13.41,2024-09-21,Delivered
Tunisia,Italy,18.55,2024-04-27,Delivered
USA,France,7.23,2024-05-23,In Transit
China,France,4.36,2024-03-20,In Transit
Tunisia,France,22.17,2024-11-26,Pending
USA,France,34.06,2024-05-08,Pending
China,France,7.95,2024-04-25,Delivered
Tunisia,France,11.98,2024-12-05,In Transit
Spain,France,-1.53,2024-12-28,In Transit
Spain,France,48.61,2024-10-09,Pending
China,France,12.6,2024-11-03,Delivered
Spain,Germany,7.6,2024-01-28,In Transit
Tunisia,UK,45.34,2024-06-05,Delivered
Tunisia,France,35.41,2024-07-28,In Transit
China,Italy,6.89,2024-07-21,In Transit
USA,France,-8.27,2024-02-15,In Transit
China,France,12.97,2024-01-11,Pending
China,France,38.18,2024-10-09,Pending
China,France,26.77,2024-07-20,In Transit
Germany,France,8.36,2024-11-15,In Transit
Tunisia,Germany,-7.15,2024-12-20,Delivered
China,France,-4.46,2024-08-20,Delivered
Tunisia,Italy,37.36,2024-10-09,Pending
USA,France,-0.79,2024-02-28,In Transit
Spain,Germany,-3.07,2024-10-09,Delivered
China,Italy,44.81,2024-04-17,Pending
China,France,0.6,2024-10-09,Delivered
Spain,France,40.6,2024-05-17,In Transit
USA,France,7.95,2024-07-18,In Transit
Germany,France,44.51,2024-03-10,Delivered
Spain,France,16.36,2024-10-09,In Transit
China,France,-2.67,2024-12-14,In Transit
China,France,37.46,2024-10-09,Pending
Spain,Italy,41.5,2024-12-28,Pending
USA,Italy,15.3,2024-06-23,In Transit
China,Germany,39.9,2024-09-17,In Transit
Germany,Germany,-0.94,2024-10-09,Pending
Spain,UK,5.72,2024-11-28,In Transit
Tunisia,Germany,24.49,2024-10-09,Pending
China,Italy,32.3,2024-04-10,Pending
China,France,44.61,2024-06-26,Pending
USA,France,44.99,2024-02-27,Delivered
Germany,UK,16.17,2024-06-26,Pending
USA,Italy,45.58,2024-10-09,In Transit
China,France,-0.59,2024-08-08,Pending
Tunisia,Germany,28.93,2024-03-19,Delivered
USA,France,7.95,2024-07-12,In Transit
Spain,Italy,43.21,2024-07-18,In Transit
Germany,France,-3.85,2024-10-09,Delivered
USA,France,7.95,2024-03-03,Delivered
Germany,Germany,43.23,2024-12-09,Delivered
Spain,France,-1.97,2024-06-13,In Transit
China,UK,21.02,2024-02-27,Delivered
Germany,France,13.59,2024-10-09,Delivered
Spain,France,-2.84,2024-09-21,In Transit
Germany,UK,36.78,2024-02-03,In Transit
Germany,France,39.06,2024-10-01,Delivered
USA,Italy,7.95,2024-02-06,Delivered
Spain,UK,11.47,2024-09-20,Delivered
China,Italy,31.06,2024-10-01,In Transit
Tunisia,Germany,41.17,2024-06-28,In Transit
USA,France,-0.68,2024-11-20,In Transit
Spain,France,7.95,2024-08-08,Delivered
Germany,UK,7.95,2024-06-27,Delivered
Germany,Italy,7.95,2024-03-21,Delivered
Tunisia,France,30.76,2024-03-17,In Transit
Spain,UK,42.44,2024-07-05,Delivered
China,France,7.95,2024-09-13,In Transit
Germany,France,23.03,2024-10-09,Delivered
Tunisia,Italy,-0.6,2024-10-07,Delivered
China,France,7.95,2024-08-26,In Transit
China,Germany,23.94,2024-07-16,Pending
USA,Germany,-5.54,2024-03-25,Pending
USA,Italy,-0.93,2024-10-09,In Transit
Spain,France,5.96,2024-04-26,In Transit
Spain,Italy,34.45,2024-10-09,Pending
USA,France,7.95,2024-04-09,Pending
Tunisia,UK,35.16,2024-02-22,In Transit
Germany,Italy,40.94,2024-06-28,In Transit
USA,Germany,25.01,2024-02-05,Pending
USA,Italy,7.95,2024-08-20,Delivered
China,France,28.49,2024-08-12,In Transit
USA,France,-0.56,2024-04-26,In Transit
Germany,France,29.98,2024-09-22,Delivered
Germany,France,40.57,2024-05-08,Pending
Tunisia,France,-6.59,2024-12-13,Pending
USA,France,2.99,2024-02-03,Pending
Tunisia,Germany,34.88,2024-08-18,Delivered
USA,France,6.46,2024-09-20,In Transit
China,France,-7.47,2024-12-15,In Transit
Spain,France,-4.06,2024-09-04,Delivered
Germany,France,43.37,2024-04-13,Delivered
USA,France,49.48,2024-06-02,Pending
